Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors*,82,241.2,43.1,87.1,.495,12.0,31.2,.383,31.1,55.8,.557,17.8,22.6,.788,9.4,35.0,44.4,30.4,9.6,6.8,14.8,19.3,115.9
2,Houston Rockets*,82,241.2,40.3,87.2,.462,14.4,40.3,.357,25.9,46.9,.552,20.3,26.5,.766,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3
3,Denver Nuggets,82,240.9,41.2,87.7,.469,10.6,28.8,.368,30.6,58.9,.519,18.7,24.2,.774,11.8,34.6,46.4,25.3,6.9,3.9,15.0,19.1,111.7
4,Cleveland Cavaliers*,82,242.4,39.9,84.9,.470,13.0,33.9,.384,26.9,51.0,.528,17.5,23.3,.748,9.3,34.4,43.7,22.7,6.6,4.0,13.7,18.1,110.3
5,Washington Wizards*,82,242.1,41.3,87.0,.475,9.2,24.8,.372,32.1,62.3,.515,17.3,22.1,.784,10.3,32.6,42.9,23.9,8.5,4.1,14.2,21.3,109.2
6,Los Angeles Clippers*,82,240.9,39.5,83.2,.475,10.3,27.4,.375,29.3,55.8,.525,19.3,26.0,.745,9.0,34.0,43.0,22.5,7.5,4.2,13.0,19.8,108.7
7,Boston Celtics*,82,240.9,38.6,85.1,.454,12.0,33.4,.359,26.6,51.7,.515,18.7,23.2,.807,9.1,32.9,42.0,25.2,7.5,4.1,13.3,20.6,108.0
8,Portland Trail Blazers*,82,243.0,39.5,86.1,.459,10.4,27.7,.375,29.2,58.4,.499,18.5,23.7,.780,10.1,33.5,43.7,21.1,7.0,5.0,13.7,21.2,107.9
9,Phoenix Suns,82,241.8,39.9,88.5,.450,7.5,22.6,.332,32.4,65.9,.491,20.4,26.3,.776,11.9,33.1,45.0,19.6,8.2,4.9,15.4,24.8,107.7
10,Toronto Raptors*,82,241.2,39.2,84.4,.464,8.8,24.3,.363,30.3,60.0,.505,19.7,24.7,.796,10.6,32.6,43.3,18.5,8.3,4.9,12.7,20.8,106.9
11,Oklahoma City Thunder*,82,241.5,39.5,87.4,.452,8.4,25.8,.327,31.0,61.6,.504,19.2,25.8,.745,12.2,34.4,46.6,21.0,7.9,5.0,15.0,20.9,106.6
12,Brooklyn Nets,82,240.9,37.8,85.2,.444,10.7,31.6,.338,27.1,53.6,.506,19.4,24.6,.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21.0,105.8
13,Minnesota Timberwolves,82,241.5,39.5,84.4,.467,7.3,21.0,.349,32.1,63.4,.507,19.3,24.2,.799,11.4,31.0,42.4,23.7,8.0,4.5,14.0,20.1,105.6
14,San Antonio Spurs*,82,241.5,39.3,83.7,.469,9.2,23.5,.391,30.1,60.2,.500,17.6,22.0,.797,10.0,33.9,43.9,23.8,8.0,5.9,13.4,18.3,105.3
15,Indiana Pacers*,82,242.1,39.3,84.5,.465,8.6,23.0,.376,30.6,61.5,.498,17.9,22.1,.810,9.0,33.0,42.0,22.5,8.2,5.0,13.8,19.5,105.1
16,Charlotte Hornets,82,241.8,37.7,85.4,.442,10.0,28.6,.351,27.7,56.7,.488,19.4,23.8,.815,8.8,34.8,43.6,23.1,7.0,4.8,11.5,16.6,104.9
17,Los Angeles Lakers,82,240.3,39.3,87.4,.450,8.9,25.7,.346,30.4,61.6,.493,17.0,22.6,.754,11.4,32.1,43.5,20.9,8.2,3.9,15.2,20.7,104.6
18,New Orleans Pelicans,82,242.7,39.1,87.0,.450,9.4,26.8,.350,29.8,60.2,.495,16.7,22.3,.750,8.6,35.1,43.7,22.8,7.8,5.5,12.9,18.2,104.3
19,New York Knicks,82,242.1,39.6,88.5,.447,8.6,24.7,.348,31.0,63.8,.485,16.6,21.1,.788,12.0,33.2,45.2,21.8,7.1,5.5,13.9,20.3,104.3
20,Milwaukee Bucks*,82,241.2,38.8,81.9,.474,8.8,23.7,.370,30.0,58.2,.516,17.2,22.4,.768,8.8,31.6,40.4,24.2,8.1,5.3,14.0,20.2,103.6
21,Miami Heat,82,241.2,39.0,85.8,.455,9.9,27.0,.365,29.2,58.8,.496,15.2,21.6,.706,10.6,33.0,43.6,21.2,7.2,5.7,13.4,20.5,103.2
22,Atlanta Hawks*,82,242.4,38.1,84.4,.451,8.9,26.1,.341,29.2,58.3,.501,18.1,24.9,.728,10.3,34.1,44.3,23.6,8.2,4.8,15.8,18.2,103.2
23,Chicago Bulls*,82,241.2,38.6,87.1,.444,7.6,22.3,.340,31.0,64.8,.479,18.0,22.5,.798,12.2,34.1,46.3,22.6,7.8,4.8,13.6,17.7,102.9
