,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,Golden State Warriors,29.0,25,6,25,6,10.90,-0.52,10.39,115.0,104.2,100.3,.238,.353,.612,.580,14.6,21.9,.194,.488,13.1,76.9,.193,Oracle Arena,274344
2,Houston Rockets,29.5,25,5,24,6,10.70,-0.32,10.38,116.0,105.2,99.4,.308,.515,.605,.564,13.8,21.9,.245,.522,13.8,81.4,.182,Toyota Center,282106
3,Toronto Raptors,25.9,21,8,22,7,8.79,-0.83,7.96,113.9,104.9,97.9,.262,.369,.584,.549,12.7,22.0,.206,.504,14.3,77.8,.224,Air Canada Centre,237600
4,Boston Celtics,24.5,26,8,23,11,5.15,-0.77,4.38,108.1,102.7,95.4,.263,.371,.558,.521,13.3,21.0,.202,.495,13.4,79.0,.187,TD Garden,316608
5,San Antonio Spurs,29.5,22,10,20,12,3.31,-0.47,2.85,107.1,103.5,94.6,.238,.295,.546,.511,13.5,24.6,.186,.507,13.4,79.5,.160,AT&T Center,311525
6,Cleveland Cavaliers,31.5,23,9,20,12,3.78,-1.21,2.57,114.3,110.4,97.0,.271,.394,.598,.560,13.5,19.7,.219,.534,12.8,76.3,.167,Quicken Loans Arena,308430
7,Oklahoma City Thunder,27.4,16,15,18,13,2.52,-0.21,2.30,105.8,103.2,95.2,.256,.339,.529,.496,13.4,26.8,.183,.515,16.4,77.7,.203,Chesapeake Energy Arena,273045
8,Indiana Pacers,26.2,18,14,18,14,1.59,0.40,2.00,110.3,108.7,97.7,.233,.297,.568,.536,12.7,22.1,.181,.531,13.9,75.9,.153,Bankers Life Fieldhouse,256016
9,Washington Wizards,27.0,17,14,18,13,2.45,-0.72,1.74,108.1,105.6,97.0,.272,.306,.550,.512,12.7,22.5,.207,.506,14.1,76.9,.221,Capital One Arena,239416
10,Utah Jazz,27.1,14,18,17,15,1.13,0.40,1.52,107.0,105.8,95.1,.238,.364,.560,.523,13.9,20.0,.191,.520,15.1,78.1,.213,Vivint Smart Home Arena,277156
11,Portland Trail Blazers,25.7,16,15,18,13,1.90,-0.66,1.24,105.6,103.7,96.6,.251,.291,.541,.499,13.5,22.9,.203,.496,12.2,80.3,.195,Moda Center,306884
12,Minnesota Timberwolves,27.0,19,13,17,15,1.44,-0.72,0.72,111.8,110.3,95.8,.285,.267,.561,.518,12.2,25.2,.226,.547,15.0,76.3,.173,Target Center,266576
13,Detroit Pistons,25.7,17,14,16,15,0.39,0.22,0.61,107.2,106.8,95.8,.222,.338,.543,.512,13.2,23.8,.168,.529,14.7,77.9,.188,Little Caesars Arena,239856
14,New York Knicks,26.8,16,14,15,15,0.47,-0.10,0.36,108.3,107.8,96.0,.237,.263,.556,.519,14.5,26.0,.189,.515,13.4,76.8,.198,Madison Square Garden (IV),364088
