,,,,,,,,,,,,,,,,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,,
15,Philadelphia 76ers,25.6,14,16,14,16,-0.63,0.94,0.30,106.2,106.8,100.9,.268,.346,.553,.518,15.5,26.3,.201,.502,12.5,78.7,.222,Wells Fargo Center,309150
16,Denver Nuggets,24.8,16,15,16,15,0.03,-0.34,-0.31,109.8,109.8,97.1,.253,.353,.558,.528,14.2,27.1,.186,.546,14.2,78.2,.167,Pepsi Center,235994
17,New Orleans Pelicans,28.2,15,16,14,17,-1.16,0.78,-0.38,109.5,110.6,100.1,.254,.348,.584,.554,14.8,20.3,.191,.531,13.0,77.0,.180,Smoothie King Center,244387
18,Milwaukee Bucks,25.6,16,13,14,15,-0.41,-0.03,-0.45,109.5,109.9,95.5,.288,.303,.572,.535,12.7,18.9,.218,.533,15.0,76.9,.247,BMO Harris Bradley Center,237875
19,Charlotte Hornets,26.4,11,20,13,18,-2.00,1.01,-0.99,104.8,106.8,99.0,.322,.291,.530,.487,12.0,22.4,.235,.517,12.6,81.5,.177,Spectrum Center,298689
20,Miami Heat,26.3,16,15,13,18,-1.94,0.17,-1.76,104.2,106.2,95.5,.235,.391,.556,.524,14.9,18.5,.178,.506,13.2,78.7,.221,AmericanAirlines Arena,254904
21,Dallas Mavericks,28.4,9,23,13,19,-2.88,0.81,-2.07,104.3,107.3,95.3,.221,.378,.541,.507,12.6,17.3,.171,.521,13.4,79.8,.214,American Airlines Center,354645
22,Los Angeles Lakers,23.5,11,18,12,17,-2.66,0.46,-2.19,103.2,105.8,102.3,.270,.302,.536,.506,14.3,23.0,.188,.510,13.7,77.4,.188,STAPLES Center,263408
23,Memphis Grizzlies,27.3,9,22,11,20,-4.48,2.05,-2.43,103.6,108.4,93.0,.267,.344,.542,.500,14.2,20.1,.211,.518,14.3,76.3,.237,FedEx Forum,291829
24,Los Angeles Clippers,27.3,12,18,13,17,-2.17,-0.32,-2.49,106.6,108.8,96.8,.278,.349,.545,.509,13.6,24.0,.206,.518,13.5,76.7,.215,STAPLES Center,233722
25,Brooklyn Nets,25.6,11,19,11,19,-3.87,-0.18,-4.05,105.7,109.6,101.0,.295,.395,.545,.506,13.9,21.9,.219,.519,12.1,77.0,.200,Barclays Center,254436
26,Orlando Magic,25.8,11,21,11,21,-4.59,-0.04,-4.63,105.5,110.1,99.9,.239,.347,.552,.522,13.5,18.9,.177,.523,12.9,76.0,.193,Amway Center,246107
27,Atlanta Hawks,26.0,7,24,10,21,-5.32,-0.15,-5.47,105.7,111.2,97.2,.233,.337,.554,.519,14.3,21.3,.184,.543,15.0,74.3,.187,Philips Arena,210844
28,Chicago Bulls,24.7,10,20,9,21,-6.50,0.24,-6.26,101.5,108.1,97.2,.203,.341,.519,.491,12.8,20.0,.150,.526,12.1,81.4,.183,United Center,307405
29,Phoenix Suns,24.0,11,22,9,24,-7.27,-0.31,-7.58,104.3,111.4,101.4,.291,.294,.534,.492,13.9,24.3,.222,.521,11.8,76.8,.215,Talking Stick Resort Arena,264390
30,Sacramento Kings,26.8,11,20,7,24,-8.52,0.52,-7.99,101.7,110.7,94.5,.202,.264,.524,.497,13.9,21.6,.146,.542,14.2,75.6,.195,Golden 1 Center,210996
,League Average,26.6,,,15,16,0.00,0.00,0.00,107.5,107.5,97.3,.256,.338,.555,.520,13.6,22.2,.196,.520,13.6,77.8,.196,,272414
