Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Utah Jazz*,82,240.9,36.3,82.0,.443,8.2,22.9,.358,28.1,59.1,.476,16.0,20.7,.769,9.0,31.1,40.2,17.8,7.3,3.8,12.1,20.2,96.8
2,San Antonio Spurs*,82,241.5,37.0,83.4,.443,8.1,23.7,.344,28.8,59.7,.483,16.0,20.8,.771,9.8,31.7,41.5,21.4,7.5,4.1,14.4,19.8,98.1
3,Memphis Grizzlies*,82,242.7,34.9,78.8,.443,9.9,28.0,.354,25.0,50.8,.492,20.2,26.9,.753,9.3,32.8,42.1,20.1,7.0,5.0,14.3,20.8,100.0
4,Dallas Mavericks,82,241.2,37.0,79.0,.469,9.6,25.3,.380,27.4,53.7,.510,17.2,22.3,.772,8.9,35.6,44.5,21.3,6.5,3.4,14.9,19.4,100.8
5,Miami Heat,82,241.2,37.9,84.2,.450,7.8,22.7,.343,30.1,61.5,.490,18.5,23.7,.782,10.2,33.4,43.6,19.6,6.8,4.9,13.7,18.7,102.1
6,Chicago Bulls*,82,241.2,39.5,86.6,.456,8.9,25.9,.345,30.5,60.7,.503,14.6,19.0,.770,10.3,32.9,43.2,23.6,7.3,4.6,13.4,18.8,102.4
7,Detroit Pistons,82,241.5,38.3,83.3,.460,9.4,25.6,.366,29.0,57.7,.502,16.4,21.0,.780,8.0,34.9,42.9,23.5,6.7,4.1,12.8,17.5,102.5
8,Toronto Raptors*,82,241.2,37.2,82.9,.449,9.7,27.3,.354,27.5,55.6,.495,18.5,23.8,.780,10.1,31.9,42.1,21.8,6.7,4.8,14.6,20.3,102.6
9,Milwaukee Bucks*,82,241.2,38.0,83.0,.458,10.0,28.2,.353,28.0,54.8,.512,17.9,23.2,.771,10.3,32.1,42.5,24.1,7.4,4.6,14.7,19.3,103.8
10,Atlanta Hawks*,82,242.4,38.8,87.3,.444,10.9,30.5,.357,27.9,56.7,.491,15.6,20.2,.772,10.7,33.2,43.9,23.4,9.0,5.2,15.4,21.6,104.0
11,Golden State Warriors*,82,241.2,38.8,89.2,.435,9.0,27.8,.324,29.8,61.4,.485,17.7,23.2,.761,11.7,31.8,43.5,22.7,8.6,3.8,15.5,19.4,104.3
12,Los Angeles Clippers*,82,240.9,38.6,85.4,.452,9.2,26.3,.350,29.4,59.1,.497,18.0,23.4,.772,10.2,32.9,43.1,23.1,7.0,3.1,13.2,22.4,104.4
13,Charlotte Hornets,82,241.8,39.5,86.5,.456,11.6,31.4,.369,27.9,55.1,.506,14.2,18.2,.776,8.9,35.5,44.4,24.5,6.6,5.5,13.1,19.9,104.7
14,Indiana Pacers*,82,242.1,38.0,84.3,.451,10.4,29.1,.355,27.6,55.1,.501,19.0,24.1,.789,10.7,33.5,44.3,22.3,8.1,5.0,14.9,19.5,105.3
15,Boston Celtics*,82,240.9,38.6,85.8,.450,9.0,27.0,.332,29.7,58.8,.505,19.1,24.9,.769,10.8,33.8,44.5,22.6,7.6,5.2,13.9,20.3,105.4
16,Oklahoma City Thunder*,82,241.5,39.2,85.3,.459,8.8,24.8,.356,30.4,60.5,.502,18.6,24.3,.764,9.1,31.5,40.6,21.4,8.5,5.5,13.8,20.7,105.8
17,New Orleans Pelicans,82,242.7,40.1,89.0,.450,10.5,29.8,.353,29.5,59.2,.499,15.8,20.7,.762,10.6,37.7,48.3,23.4,7.4,4.2,14.0,19.3,106.4
18,Minnesota Timberwolves,82,241.5,39.6,83.3,.475,9.9,27.0,.366,29.7,56.3,.528,17.6,22.9,.768,9.8,30.6,40.4,23.1,7.7,5.0,14.3,20.5,106.7
19,Sacramento Kings,82,242.4,38.5,83.2,.462,10.9,30.0,.364,27.5,53.2,.517,18.9,24.2,.778,10.1,32.8,42.9,23.7,8.5,5.1,14.0,20.1,106.7
20,Cleveland Cavaliers*,82,242.4,40.6,88.8,.458,10.4,28.7,.361,30.3,60.1,.504,15.5,20.0,.773,11.0,33.2,44.2,24.7,7.3,4.3,12.6,20.6,107.2
21,Washington Wizards*,82,242.1,39.7,85.1,.466,9.9,27.1,.364,29.8,58.0,.514,18.2,24.2,.751,10.6,32.5,43.0,22.8,7.4,4.6,15.3,19.8,107.4
22,Orlando Magic,82,241.5,40.3,86.4,.467,9.7,26.4,.367,30.6,60.0,.510,17.4,22.7,.766,9.7,35.8,45.5,23.6,7.6,5.1,13.0,18.7,107.6
23,New York Knicks,82,242.1,39.7,87.4,.455,9.8,28.2,.348,29.9,59.1,.506,18.7,24.2,.771,11.6,33.1,44.7,21.8,7.5,4.6,12.9,18.5,108.0
