Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Golden State Warriors,31,241.6,43.7,85.8,.510,12.1,30.3,.398,31.7,55.5,.571,16.6,20.5,.812,8.6,36.6,45.2,30.5,8.4,8.5,16.2,20.4,116.2
2,Cleveland Cavaliers,32,240.8,40.3,83.0,.485,12.5,32.7,.382,27.8,50.3,.552,18.2,22.5,.810,8.0,33.8,41.8,24.0,7.1,3.8,14.5,18.8,111.2
3,Boston Celtics,34,240.7,37.6,83.1,.452,11.5,30.9,.374,26.0,52.3,.498,16.8,21.8,.768,8.9,35.1,44.1,22.3,7.6,4.5,14.2,19.9,103.4
4,Phoenix Suns,33,240.8,39.0,88.0,.443,8.5,25.8,.331,30.4,62.1,.490,19.5,25.6,.764,11.2,34.8,46.0,20.1,6.7,5.0,16.0,22.2,106.0
5,Indiana Pacers,32,240.8,41.3,86.3,.479,9.9,25.6,.388,31.4,60.7,.517,15.6,20.1,.775,9.3,33.3,42.5,22.5,7.9,4.5,13.9,18.4,108.2
6,Houston Rockets,30,240.0,39.4,83.9,.469,16.0,43.2,.370,23.4,40.7,.574,20.6,25.8,.797,9.1,35.2,44.3,22.6,9.3,4.9,15.3,20.4,115.3
7,Minnesota Timberwolves,32,241.6,40.2,85.4,.470,8.1,22.8,.356,32.0,62.6,.512,19.3,24.4,.794,10.7,30.9,41.6,22.8,9.1,3.8,13.3,17.8,107.8
8,New Orleans Pelicans,31,242.4,41.6,85.3,.488,11.3,29.6,.380,30.3,55.6,.545,16.3,21.6,.751,8.5,34.5,43.0,26.5,7.5,4.6,16.5,19.6,110.7
9,Orlando Magic,32,240.8,39.7,86.6,.459,11.0,30.0,.366,28.8,56.6,.508,15.3,20.7,.740,8.3,33.4,41.8,23.7,7.5,4.9,14.9,19.7,105.7
10,Denver Nuggets,31,241.6,39.9,86.4,.462,11.3,30.5,.371,28.6,55.9,.512,16.1,21.9,.735,11.9,33.1,45.0,23.5,7.9,4.5,15.8,17.9,107.3
11,Washington Wizards,31,241.6,39.2,85.7,.457,9.4,26.2,.360,29.8,59.5,.500,17.8,23.3,.763,9.8,33.5,43.4,22.2,7.9,4.4,14.0,22.2,105.6
12,Utah Jazz,32,240.8,37.4,82.6,.453,11.5,30.1,.383,25.9,52.5,.493,15.8,19.6,.803,8.6,31.8,40.4,21.4,9.3,5.1,14.8,20.1,102.1
13,Philadelphia 76ers,30,243.3,40.1,87.8,.457,10.7,30.4,.353,29.4,57.4,.512,17.6,23.6,.748,11.7,37.2,48.9,26.4,8.2,5.1,18.0,23.5,108.6
14,San Antonio Spurs,32,240.0,38.4,83.8,.458,8.8,24.7,.357,29.6,59.1,.501,15.6,19.9,.782,10.5,34.3,44.8,22.3,7.3,5.9,14.4,17.3,101.2
15,Charlotte Hornets,31,241.6,37.7,86.3,.437,8.7,25.2,.346,29.0,61.2,.474,20.3,27.8,.729,10.3,36.5,46.8,20.5,6.5,4.5,13.4,18.6,104.4
16,Toronto Raptors,29,240.0,41.3,85.6,.483,11.2,31.6,.355,30.1,54.0,.558,17.7,22.4,.786,8.9,33.1,42.0,23.4,8.3,5.5,13.8,22.0,111.6
17,Brooklyn Nets,30,240.0,38.1,86.7,.439,11.7,34.3,.340,26.4,52.4,.503,19.0,25.5,.744,10.2,34.5,44.7,22.3,6.8,4.2,15.8,20.9,106.8
18,Atlanta Hawks,31,240.8,38.4,84.5,.455,10.8,28.5,.379,27.6,56.0,.493,15.5,19.7,.789,9.0,30.7,39.8,23.7,8.6,4.0,15.6,19.8,103.1
19,Dallas Mavericks,32,240.8,36.9,84.1,.439,11.5,31.8,.362,25.4,52.3,.486,14.4,18.6,.776,7.8,33.6,41.4,21.4,6.8,3.7,13.3,19.5,99.7
20,Detroit Pistons,31,240.0,38.5,86.2,.447,11.1,29.2,.381,27.5,57.0,.482,14.5,19.2,.754,10.5,31.9,42.4,21.9,7.9,3.4,14.4,19.5,102.6
21,Portland Trail Blazers,31,240.8,37.9,85.3,.445,9.3,24.8,.373,28.7,60.5,.474,17.3,21.4,.808,9.8,35.4,45.2,18.2,6.6,5.3,14.8,19.8,102.4
