Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22,Oklahoma City Thunder,31,243.2,38.0,86.8,.438,10.2,29.4,.348,27.7,57.4,.484,15.8,22.2,.714,12.0,32.0,44.0,20.7,10.0,4.9,14.9,20.8,102.1
23,New York Knicks,30,240.8,40.1,85.0,.471,8.1,22.4,.362,32.0,62.6,.510,16.1,20.1,.800,10.6,33.1,43.7,23.0,7.1,4.6,15.9,20.6,104.3
24,Los Angeles Lakers,29,243.4,40.8,89.4,.456,8.9,27.0,.328,31.9,62.3,.512,16.8,24.1,.694,10.7,35.8,46.5,23.3,8.2,5.7,16.7,22.3,107.1
25,Los Angeles Clippers,30,240.8,37.9,84.6,.448,10.3,29.5,.350,27.5,55.1,.500,17.4,23.5,.740,10.7,33.1,43.8,20.4,7.8,4.6,15.0,21.0,103.5
26,Miami Heat,31,240.8,36.8,81.4,.452,11.7,31.8,.367,25.2,49.6,.507,14.5,19.1,.759,7.7,33.4,41.1,21.1,7.5,5.1,15.7,20.5,99.9
27,Milwaukee Bucks,29,240.9,39.2,81.4,.481,8.8,24.7,.356,30.4,56.8,.536,17.8,23.5,.756,7.7,30.8,38.5,22.2,8.8,5.4,13.3,22.4,105.0
28,Memphis Grizzlies,31,240.8,35.1,79.8,.439,9.6,27.5,.351,25.4,52.3,.486,16.8,21.3,.791,8.2,30.9,39.1,20.7,7.4,5.1,14.7,22.7,96.6
29,Sacramento Kings,31,240.8,37.8,84.6,.447,8.5,22.4,.380,29.3,62.3,.471,12.4,17.1,.726,9.4,30.6,40.0,20.5,8.2,4.4,14.8,19.7,96.5
30,Chicago Bulls,30,241.7,37.9,87.8,.431,10.4,29.9,.348,27.5,57.9,.474,13.1,17.8,.738,9.4,35.4,44.8,22.7,7.0,3.8,14.0,19.2,99.3
,League Average,31,241.1,39.0,85.1,.458,10.4,28.7,.364,28.5,56.4,.506,16.7,21.8,.765,9.6,33.6,43.2,22.5,7.8,4.8,14.9,20.2,105.1
